Target,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Admission grade,Tuition fees up to date,Curricular units 2nd sem (evaluations),Previous qualification (grade),Age at enrollment,Curricular units 1st sem (evaluations),Course,Father's occupation,Mother's occupation,GDP,Unemployment rate,Application mode,Father's qualification,Inflation rate,Mother's qualification,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Scholarship holder,Application order,Debtor,Gender
Graduate,7.0,14.11428571,6.0,13.29666667,123.9,1.0,9.0,126.0,19.0,8.0,9500.0,7.0,3.0,2.02,11.1,1.0,19.0,0.6,19.0,8.0,7.0,0,1.0,0,0.0
Enrolled,4.0,11.0,5.0,11.6,157.0,1.0,12.0,151.0,18.0,8.0,9238.0,9.0,9.0,0.32,7.6,1.0,38.0,2.6,19.0,6.0,6.0,1,1.0,1,0.0
Graduate,6.0,13.28571429,6.0,11.375,116.4,1.0,9.0,115.0,21.0,9.0,9238.0,8.0,7.0,-0.92,16.2,17.0,38.0,0.3,19.0,6.0,6.0,0,2.0,0,0.0
Enrolled,4.0,13.0,5.0,12.66666667,131.0,1.0,7.0,138.0,18.0,9.0,9085.0,3.0,3.0,-3.12,9.4,1.0,19.0,-0.8,19.0,5.0,5.0,0,1.0,0,0.0
Graduate,5.0,12.33333333,5.0,12.0,122.1,1.0,6.0,135.0,20.0,6.0,9147.0,9.0,9.0,-0.92,16.2,1.0,1.0,0.3,19.0,5.0,5.0,0,1.0,0,0.0
Enrolled,6.0,13.71666667,6.0,12.28571429,118.8,1.0,7.0,127.0,19.0,9.0,9500.0,10.0,1.0,-0.92,16.2,17.0,3.0,0.3,3.0,7.0,7.0,0,2.0,0,1.0
Enrolled,5.0,10.57142857,5.0,11.85714286,150.0,1.0,16.0,150.0,21.0,15.0,9003.0,2.0,4.0,-0.92,16.2,44.0,5.0,0.3,4.0,6.0,6.0,0,1.0,0,1.0
Graduate,4.0,13.4,6.0,12.83333333,130.0,1.0,9.0,125.0,20.0,7.0,9070.0,16.5,16.5,3.51,8.9,51.0,3.0,1.4,42.0,6.0,6.0,0,1.0,0,1.0
Enrolled,2.0,13.5,3.0,11.33333333,138.8,0.0,8.0,143.0,18.0,9.0,9147.0,6.0,4.0,3.51,8.9,1.0,1.0,1.4,1.0,5.0,5.0,0,1.0,0,1.0
Graduate,6.0,14.375,6.0,12.66666667,134.5,1.0,8.0,138.0,19.0,6.0,8378.5,5.0,9.0,1.79,12.4,18.0,1.0,0.5,19.0,6.0,6.0,0,1.0,0,0.0
Graduate,5.0,13.42857143,5.0,12.4,131.4,1.0,9.0,130.0,34.0,6.0,9991.0,9.0,3.0,0.79,13.9,1.0,37.0,-0.3,2.0,5.0,5.0,0,1.0,0,1.0
Dropout,1.0,10.0,0.0,7.3999999999999995,126.1,0.0,7.0,130.0,34.0,7.0,8378.5,6.0,9.0,3.51,8.9,39.0,37.0,1.4,38.0,7.0,7.0,0,1.0,1,1.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,128.8,1.0,0.0,133.1,34.0,0.0,9119.0,0.0,0.0,0.32,7.6,39.0,37.0,2.6,34.0,5.0,5.0,0,1.0,0,1.0
Dropout,2.0,12.0,1.0,10.0,122.9,1.0,8.0,140.0,34.0,10.0,9147.0,6.0,6.0,-0.92,16.2,43.0,37.0,0.3,37.0,5.0,5.0,0,1.0,0,0.0
Graduate,5.0,11.6,5.0,11.0,113.9,1.0,5.0,120.0,34.0,8.0,9991.0,3.0,9.0,0.32,7.6,39.0,19.0,2.6,19.0,5.0,5.0,0,1.0,0,0.0
Dropout,3.0,12.0,3.0,11.66666667,120.0,0.0,11.0,120.0,20.0,13.0,9130.0,6.0,3.0,1.79,12.4,44.0,4.0,0.5,4.0,6.0,6.0,0,1.0,1,0.0
Dropout,0.0,6.8750000049999995,4.0,12.75,121.1,1.0,5.0,126.0,18.0,6.0,9773.0,2.0,2.0,-1.7,12.7,1.0,3.0,3.7,3.0,5.0,6.0,0,3.5,1,0.0
Graduate,5.0,15.8,5.0,14.8,120.4,1.0,5.0,133.0,22.0,5.0,9147.0,7.0,2.0,3.51,8.9,1.0,19.0,1.4,3.0,5.0,5.0,0,2.0,0,0.0
Graduate,7.0,14.34285714,5.0,13.928,100.6,1.0,9.0,103.0,22.0,9.0,9500.0,2.0,2.0,2.02,11.1,1.0,3.0,0.6,1.0,8.0,7.0,0,3.5,0,0.0
Dropout,5.0,13.8,4.0,13.0,121.4,0.0,7.0,120.0,20.0,7.0,9773.0,5.0,5.0,1.79,12.4,17.0,38.0,0.5,1.0,6.0,6.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,109.7,1.0,0.0,133.1,29.0,0.0,9991.0,9.0,9.0,-0.92,16.2,39.0,37.0,0.3,37.0,5.0,5.0,0,1.0,0,0.0
Enrolled,3.0,14.33333333,2.0,11.5,134.1,1.0,11.0,154.0,24.0,9.0,9991.0,5.0,4.0,0.32,7.6,17.0,38.0,2.6,38.0,5.0,5.0,0,1.0,0,0.0
Graduate,5.0,13.2,6.0,11.66666667,127.6,1.0,8.0,130.0,18.0,6.0,9238.0,9.0,9.0,2.02,11.1,17.0,19.0,0.6,19.0,6.0,6.0,0,2.0,0,0.0
Graduate,7.0,13.77142857,6.0,13.51666667,132.4,1.0,9.0,132.0,22.0,8.0,9500.0,7.0,7.0,2.02,11.1,17.0,19.0,0.6,37.0,8.0,7.0,1,3.5,0,0.0
Graduate,6.0,13.28571429,6.0,11.5,133.4,1.0,7.0,130.0,21.0,6.0,8378.5,9.0,9.0,1.79,12.4,44.0,19.0,0.5,1.0,6.0,6.0,1,1.0,0,0.0
Graduate,6.0,12.83333333,5.0,12.33333333,126.1,1.0,7.0,139.0,19.0,7.0,9238.0,9.0,9.0,-1.7,12.7,1.0,38.0,3.7,37.0,6.0,6.0,1,1.0,0,0.0
Graduate,6.0,14.16666667,6.0,13.66666667,113.5,1.0,6.0,130.0,24.0,6.0,9254.0,7.0,9.0,1.79,12.4,39.0,38.0,0.5,19.0,6.0,6.0,1,1.0,0,0.0
Enrolled,6.0,11.83333333,6.0,11.83333333,121.3,1.0,10.0,139.0,19.0,10.0,9500.0,6.0,6.0,-3.12,9.4,1.0,38.0,-0.8,37.0,8.0,8.0,1,1.0,0,0.0
Enrolled,3.0,11.0,4.0,14.0,121.8,1.0,12.0,127.0,20.0,11.0,9773.0,7.0,7.0,-3.12,9.4,1.0,19.0,-0.8,1.0,6.0,6.0,1,1.0,0,0.0
Graduate,5.0,15.8,5.0,14.71428571,159.3,1.0,5.0,162.5,19.0,7.0,9130.0,16.5,16.5,0.32,7.6,1.0,37.0,2.6,37.0,5.0,5.0,0,3.0,0,0.0
Dropout,5.0,11.0,5.0,10.6,120.0,1.0,10.0,130.0,27.0,12.0,9991.0,9.0,9.0,-3.12,9.4,39.0,38.0,-0.8,38.0,5.0,5.0,0,1.0,0,0.0
Graduate,8.0,13.595,7.0,13.04444444,129.1,1.0,10.0,130.0,18.0,9.0,9500.0,5.0,5.0,-4.06,15.5,1.0,19.0,2.8,1.0,8.0,7.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,130.0,1.0,6.0,130.0,34.0,10.0,9254.0,3.0,4.0,1.79,12.4,7.0,3.0,0.5,1.0,6.0,6.0,0,1.0,0,0.0
Dropout,10.0,12.9,5.0,13.0,155.3,1.0,13.0,129.0,27.0,9.0,9130.0,2.0,2.0,1.79,12.4,39.0,3.0,0.5,3.0,10.0,6.0,0,1.0,0,0.0
Graduate,8.0,14.935,8.0,14.935,139.8,1.0,8.0,141.0,18.0,8.0,9500.0,10.0,7.0,-3.12,9.4,17.0,38.0,-0.8,19.0,8.0,8.0,0,1.0,0,0.0
Enrolled,0.0,6.8750000049999995,0.0,7.3999999999999995,115.2,1.0,0.0,125.0,18.0,0.0,8378.5,9.0,4.0,0.32,7.6,1.0,37.0,2.6,38.0,2.0,2.0,0,3.0,0,0.0
Graduate,7.0,12.22142857,6.0,13.13333333,114.9,1.0,12.0,125.0,18.0,8.0,9500.0,9.0,9.0,-0.92,16.2,1.0,19.0,0.3,19.0,8.0,7.0,0,2.0,0,0.0
Graduate,6.0,12.0,6.0,12.0,131.9,1.0,7.0,130.0,21.0,7.0,9238.0,9.0,9.0,0.79,13.9,44.0,1.0,-0.3,19.0,6.0,6.0,1,1.0,0,0.0
Enrolled,0.0,6.8750000049999995,0.0,7.3999999999999995,126.0,1.0,0.0,133.0,19.0,0.0,8378.5,7.0,4.0,1.74,10.8,17.0,37.0,1.4,1.0,2.0,2.0,1,3.0,0,1.0
Enrolled,1.0,10.0,5.0,11.4,130.2,1.0,8.0,127.0,19.0,6.0,9070.0,4.0,3.0,1.74,10.8,17.0,1.0,1.4,1.0,6.0,6.0,0,1.0,0,1.0
Enrolled,0.0,6.8750000049999995,0.0,7.3999999999999995,120.9,1.0,6.0,116.0,24.0,6.0,9070.0,3.0,3.0,-1.7,12.7,43.0,1.0,3.7,1.0,6.0,6.0,0,1.0,0,1.0
Dropout,5.0,11.0,5.0,11.9,126.0,1.0,10.0,133.1,29.0,10.0,9500.0,5.0,5.0,0.79,13.9,42.0,1.0,-0.3,1.0,8.0,7.0,0,1.0,0,1.0
Graduate,0.0,6.8750000049999995,0.0,7.3999999999999995,128.2,1.0,0.0,139.0,19.0,0.0,8378.5,3.0,5.0,1.74,10.8,1.0,19.0,1.4,19.0,2.0,2.0,1,3.0,0,1.0
Graduate,6.0,12.42857143,6.0,12.57142857,130.0,1.0,7.0,130.0,23.0,8.0,9003.0,9.0,9.0,3.51,8.9,44.0,37.0,1.4,19.0,6.0,6.0,0,1.0,0,1.0
Dropout,4.0,10.75,5.0,11.2,120.1,1.0,10.0,125.0,19.0,8.0,9147.0,7.0,7.0,-0.92,16.2,1.0,38.0,0.3,1.0,5.0,5.0,0,3.0,1,1.0
Enrolled,5.0,10.8,6.0,12.0,100.0,1.0,8.0,160.0,26.0,7.0,9254.0,10.0,7.0,-1.7,12.7,39.0,37.0,3.7,19.0,6.0,6.0,0,1.0,0,1.0
Enrolled,0.0,6.8750000049999995,0.0,7.3999999999999995,134.0,1.0,5.0,148.0,18.0,9.0,9147.0,5.0,5.0,0.32,7.6,17.0,37.0,2.6,38.0,5.0,5.0,0,1.0,0,1.0
Graduate,8.0,13.75,7.0,11.975,130.8,1.0,8.0,150.0,24.0,8.0,9500.0,4.0,8.0,0.79,13.9,17.0,19.0,-0.3,37.0,8.0,7.0,0,1.0,0,1.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,135.8,1.0,0.0,141.0,19.0,0.0,8378.5,10.0,5.0,-4.06,15.5,1.0,19.0,2.8,19.0,2.0,2.0,0,1.0,0,1.0
Dropout,1.0,12.0,3.0,11.66666667,111.7,1.0,12.0,118.0,18.0,12.0,9254.0,7.0,5.0,1.79,12.4,17.0,37.0,0.5,38.0,6.0,6.0,0,3.5,0,1.0
Graduate,3.0,12.33333333,6.0,12.33333333,132.9,1.0,11.0,142.0,18.0,8.0,9773.0,9.0,9.0,1.74,10.8,1.0,38.0,1.4,38.0,6.0,6.0,0,2.0,0,1.0
Dropout,3.0,10.85714286,3.0,10.33333333,115.5,1.0,11.0,120.0,18.0,8.0,9147.0,7.0,4.0,1.74,10.8,17.0,19.0,1.4,19.0,5.0,5.0,0,3.0,1,1.0
Dropout,1.0,11.0,4.0,10.5,106.0,1.0,11.0,106.0,21.0,8.0,9254.0,7.0,7.0,-3.12,9.4,18.0,37.0,-0.8,19.0,6.0,6.0,1,3.5,0,1.0
Graduate,6.0,13.33333333,6.0,13.66666667,120.3,1.0,6.0,121.0,19.0,6.0,9773.0,8.0,9.0,3.51,8.9,17.0,19.0,1.4,1.0,6.0,6.0,1,3.5,1,1.0
Graduate,8.0,15.05555556,7.0,14.84285714,130.8,1.0,9.0,150.0,22.0,7.0,9500.0,9.0,9.0,-0.92,16.2,17.0,37.0,0.3,38.0,8.0,7.0,1,3.5,0,1.0
Graduate,6.0,11.66666667,6.0,12.0,117.0,1.0,6.0,120.0,33.0,8.0,8378.5,6.0,9.0,1.74,10.8,39.0,37.0,1.4,37.0,6.0,6.0,0,1.0,0,1.0
Dropout,5.0,12.2,5.0,12.2,110.2,1.0,7.0,114.0,20.0,8.0,9853.0,9.0,9.0,1.74,10.8,1.0,19.0,1.4,19.0,6.0,6.0,0,3.5,0,1.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,155.7,1.0,0.0,140.0,34.0,1.0,9991.0,2.0,2.0,1.74,10.8,39.0,3.0,1.4,3.0,5.0,2.0,0,1.0,0,1.0
Dropout,10.0,13.3,6.0,12.16666667,160.15000000000003,1.0,14.0,160.0,24.0,16.0,9003.0,2.0,4.0,1.79,12.4,39.0,3.0,0.5,3.0,10.0,10.0,0,1.0,1,1.0
Enrolled,3.0,11.33333333,5.0,12.0,125.5,1.0,8.0,120.0,18.0,6.0,9254.0,4.0,4.0,-1.7,12.7,17.0,19.0,3.7,19.0,5.0,5.0,0,1.0,0,1.0
Graduate,5.0,11.0,6.0,11.0,110.0,1.0,11.0,130.0,33.0,7.0,8378.5,6.0,9.0,-3.12,9.4,39.0,37.0,-0.8,37.0,6.0,6.0,0,1.0,0,0.0
Graduate,7.0,13.08,7.0,13.08,160.15000000000003,1.0,8.0,160.0,22.0,8.0,9500.0,7.0,9.0,1.74,10.8,42.0,38.0,1.4,37.0,8.0,8.0,1,1.0,0,0.0
Graduate,5.0,11.6,4.0,10.5,100.0,1.0,7.0,120.0,25.0,7.0,9670.0,5.0,4.0,-3.12,9.4,39.0,19.0,-0.8,1.0,5.0,5.0,1,1.0,0,0.0
Graduate,5.0,11.2,6.0,10.66666667,117.6,1.0,6.0,124.0,20.0,9.0,9070.0,0.0,4.0,0.32,7.6,17.0,38.0,2.6,19.0,6.0,6.0,0,1.0,0,1.0
Enrolled,5.0,13.8,4.0,14.0,128.7,1.0,5.0,143.0,23.0,6.0,9147.0,9.0,9.0,2.02,11.1,1.0,37.0,0.6,38.0,5.0,5.0,0,3.5,0,1.0
Enrolled,0.0,6.8750000049999995,2.0,10.0,112.2,1.0,9.0,115.0,18.0,9.0,9119.0,6.0,9.0,-4.06,15.5,43.0,19.0,2.8,38.0,5.0,5.0,0,2.0,1,1.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,100.8,1.0,7.0,133.1,24.0,16.0,9500.0,10.0,4.0,0.79,13.9,39.0,1.0,-0.3,1.0,7.0,7.0,0,1.0,0,1.0
Graduate,6.0,13.5,6.0,14.0,105.0,0.0,6.0,133.1,21.0,6.0,9773.0,9.0,9.0,3.51,8.9,17.0,1.0,1.4,19.0,6.0,6.0,0,2.0,0,0.0
Dropout,0.0,6.8750000049999995,2.0,12.0,100.0,1.0,6.0,133.1,26.0,7.0,9130.0,4.0,4.0,3.51,8.9,15.0,1.0,1.4,1.0,6.0,6.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,3.0,12.66666667,115.5,1.0,14.0,133.1,34.0,12.0,9853.0,0.0,0.0,0.32,7.6,39.0,34.0,2.6,37.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,12.33333333,8.0,11.875,114.0,1.0,7.0,133.1,34.0,11.0,8378.5,9.0,9.0,-1.7,12.7,39.0,19.0,3.7,37.0,6.0,8.0,0,1.0,0,0.0
Enrolled,3.0,13.25,5.0,14.0,137.0,1.0,11.0,130.0,19.0,9.0,9119.0,2.0,9.0,0.79,13.9,15.0,3.0,-0.3,38.0,5.0,5.0,0,1.0,0,1.0
Graduate,6.0,13.33333333,6.0,13.66666667,124.9,1.0,6.0,135.0,18.0,6.0,9773.0,5.0,5.0,3.51,8.9,1.0,1.0,1.4,37.0,6.0,6.0,0,3.5,0,0.0
Graduate,8.0,14.47777778,7.0,13.75,120.3,1.0,9.0,132.0,18.0,7.0,9500.0,7.0,7.0,1.79,12.4,1.0,37.0,0.5,37.0,8.0,7.0,1,3.5,0,0.0
Enrolled,5.0,13.8,5.0,14.2,134.3,1.0,7.0,135.0,19.0,7.0,9085.0,1.0,9.0,-1.7,12.7,1.0,2.0,3.7,1.0,5.0,5.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,4.0,11.96,111.5,0.0,7.0,115.0,19.0,10.0,9500.0,2.0,2.0,0.79,13.9,1.0,3.0,-0.3,3.0,7.0,7.0,0,3.5,1,0.0
Dropout,5.0,13.4,8.0,12.875,128.8,1.0,14.0,130.0,21.0,12.0,9085.0,9.0,9.0,3.51,8.9,53.0,38.0,1.4,38.0,9.0,10.0,0,1.0,0,0.0
Graduate,0.0,6.8750000049999995,0.0,7.3999999999999995,110.0,1.0,0.0,133.1,20.0,0.0,8378.5,10.0,9.0,-0.92,16.2,1.0,1.0,0.3,1.0,2.0,2.0,0,3.5,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,113.5,1.0,0.0,130.0,34.0,0.0,8378.5,5.0,6.0,-3.12,9.4,39.0,37.0,-0.8,37.0,6.0,6.0,0,1.0,0,0.0
Graduate,12.0,14.23076923,10.5,14.63157895,160.0,1.0,14.0,133.1,34.0,16.0,9003.0,6.0,9.0,-4.06,15.5,39.0,37.0,2.8,37.0,10.0,10.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,117.4,1.0,0.0,123.0,19.0,0.0,9853.0,7.0,9.0,2.02,11.1,18.0,19.0,0.6,19.0,6.0,6.0,0,1.0,0,0.0
Graduate,11.0,12.27272727,10.0,13.0,122.2,1.0,11.0,130.0,20.0,12.0,9070.0,8.0,2.0,2.02,11.1,51.0,1.0,0.6,3.0,10.0,10.0,0,1.0,1,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,118.2,1.0,0.0,122.0,19.0,0.0,9238.0,7.0,4.0,-0.92,16.2,1.0,38.0,0.3,37.0,6.0,6.0,0,2.0,0,0.0
Dropout,4.0,13.25,4.0,14.2,106.7,1.0,16.0,113.0,20.0,15.0,9085.0,4.0,4.0,-4.06,15.5,1.0,1.0,2.8,1.0,6.0,6.0,0,1.0,0,0.0
Dropout,5.0,12.3,6.0,13.26666667,108.2,1.0,10.0,111.0,20.0,9.0,9500.0,3.0,4.0,1.79,12.4,1.0,4.0,0.5,3.0,7.0,7.0,0,3.5,0,0.0
Enrolled,3.0,13.0,6.0,11.66666667,107.0,1.0,10.0,133.1,20.0,12.0,9853.0,3.0,9.0,-0.92,16.2,17.0,1.0,0.3,19.0,7.0,7.0,0,2.0,0,0.0
Graduate,6.0,15.0,6.0,13.85714286,136.1,1.0,6.0,142.0,18.0,8.0,9238.0,7.0,6.0,0.79,13.9,1.0,37.0,-0.3,37.0,6.0,6.0,0,1.0,0,0.0
Enrolled,3.0,11.0,3.0,13.0,115.3,1.0,11.0,123.0,18.0,9.0,9147.0,7.0,4.0,3.51,8.9,17.0,38.0,1.4,1.0,5.0,5.0,1,2.0,0,0.0
Graduate,5.0,12.8,5.0,13.4,139.8,1.0,5.0,131.0,19.0,6.0,9085.0,9.0,9.0,1.74,10.8,1.0,19.0,1.4,19.0,5.0,5.0,0,1.0,0,0.0
Graduate,6.0,12.57142857,6.0,12.66666667,157.0,1.0,7.0,158.0,18.0,6.0,9773.0,7.0,4.0,1.74,10.8,1.0,38.0,1.4,1.0,6.0,6.0,0,3.0,0,0.0
Dropout,6.0,12.51666667,6.0,12.51666667,131.0,1.0,7.0,122.0,18.0,7.0,9500.0,9.0,9.0,0.32,7.6,17.0,37.0,2.6,37.0,7.0,7.0,0,2.0,0,0.0
Enrolled,7.0,13.0,6.0,11.61666667,100.0,1.0,7.0,130.0,20.0,11.0,9500.0,5.0,9.0,0.79,13.9,43.0,38.0,-0.3,38.0,7.0,7.0,0,1.0,0,0.0
Enrolled,4.0,10.75,2.0,10.0,140.4,1.0,12.0,154.0,20.0,13.0,9238.0,7.0,9.0,0.32,7.6,17.0,37.0,2.6,19.0,6.0,6.0,1,1.0,0,0.0
Enrolled,3.0,10.66666667,3.0,10.33333333,113.4,1.0,10.0,120.0,20.0,11.0,9147.0,3.0,3.0,1.79,12.4,17.0,19.0,0.5,19.0,5.0,5.0,0,1.0,0,0.0
Graduate,5.0,11.4,5.0,13.14285714,137.0,1.0,6.0,140.0,18.0,12.0,9085.0,7.0,9.0,-3.12,9.4,1.0,38.0,-0.8,37.0,5.0,5.0,0,2.0,0,0.0
Graduate,5.0,14.0,5.0,12.6,121.8,1.0,5.0,127.0,18.0,5.0,9147.0,5.0,4.0,2.02,11.1,1.0,19.0,0.6,2.0,5.0,5.0,0,1.0,0,0.0
Dropout,2.0,11.0,3.0,11.0,131.0,1.0,12.0,133.1,21.0,12.0,9254.0,5.0,4.0,-3.12,9.4,17.0,1.0,-0.8,1.0,6.0,6.0,0,1.0,0,0.0
Graduate,4.0,11.25,5.0,10.8,118.6,1.0,9.0,120.0,19.0,8.0,9147.0,7.0,9.0,-0.92,16.2,1.0,19.0,0.3,19.0,5.0,5.0,0,2.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,122.3,1.0,0.0,137.0,19.0,0.0,8378.5,9.0,2.0,1.74,10.8,1.0,19.0,1.4,3.0,2.0,2.0,0,1.0,0,0.0
Graduate,5.0,14.2,5.0,12.8,127.9,1.0,5.0,131.0,19.0,5.0,9670.0,9.0,9.0,-3.12,9.4,1.0,38.0,-0.8,38.0,5.0,5.0,1,1.0,0,0.0
Graduate,6.0,12.2,6.0,14.16666667,121.3,1.0,13.0,130.0,19.0,15.0,9085.0,7.0,4.0,-4.06,15.5,1.0,38.0,2.8,19.0,6.0,6.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,5.0,12.1,117.1,1.0,0.0,122.0,19.0,12.0,9556.0,5.0,4.0,0.79,13.9,17.0,1.0,-0.3,1.0,7.0,7.0,0,3.5,0,0.0
Graduate,5.0,13.77777778,6.0,14.16666667,160.0,1.0,16.0,160.0,20.0,7.0,9085.0,9.0,9.0,1.79,12.4,44.0,37.0,0.5,37.0,6.0,6.0,0,1.0,0,0.0
